video_id,creator_handle,category,title,method,usable_transcript,transcript_path,public_url,local_video,note
7318924509522791710,@thenaturalnadine,viral_non_tiktokshop,Banana Peel Skincare Scrub,subtitle,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7318924509522791710.txt,https://www.tiktok.com/@thenaturalnadine/video/7318924509522791710,assets/videos/viral-natural-nadine-banana-peel.mp4,TikTok subtitle.
7427159569874390315,@duoheadspa,viral_non_tiktokshop,Banana Fruit Facial,subtitle,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7427159569874390315.txt,https://www.tiktok.com/@duoheadspa/video/7427159569874390315,assets/videos/viral-duoheadspa-7427159569874390315.mp4,TikTok subtitle.
7459763407668006152,@kevinnkylee,viral_non_tiktokshop,Banana Skin Tightening Hack,asr,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7459763407668006152.txt,https://www.tiktok.com/@kevinnkylee/video/7459763407668006152,assets/videos/viral-kevinnkylee-7459763407668006152.mp4,ASR fallback. Use with quick human check.
7331862916603612462,@sheenaanayaaa,viral_non_tiktokshop,Banana Peel Tightening Test,subtitle,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7331862916603612462.txt,https://www.tiktok.com/@sheenaanayaaa/video/7331862916603612462,assets/videos/viral-sheenaanayaaa-7331862916603612462.mp4,TikTok subtitle.
7593798567966297355,@shamiebirungi19,viral_non_tiktokshop,Honey Skin Glow Hack,asr,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7593798567966297355.txt,https://www.tiktok.com/@shamiebirungi19/video/7593798567966297355,assets/videos/viral-shamiebirungi19-7593798567966297355.mp4,ASR fallback. Use with quick human check.
7545915943940050231,@jaimesskin,viral_non_tiktokshop,Manuka Honey Face Mask,subtitle,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7545915943940050231.txt,https://www.tiktok.com/@jaimesskin/video/7545915943940050231,assets/videos/viral-jaimesskin-7545915943940050231.mp4,TikTok subtitle.
7355150760293747998,@katiejanehughes,viral_non_tiktokshop,Banana Skin Facial,subtitle,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7355150760293747998.txt,https://www.tiktok.com/@katiejanehughes/video/7355150760293747998,assets/videos/viral-katiejanehughes-7355150760293747998.mp4,TikTok subtitle.
7330117596110392619,@victoria__benitez,viral_non_tiktokshop,Banana for Skin Girlies,subtitle,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7330117596110392619.txt,https://www.tiktok.com/@victoria__benitez/video/7330117596110392619,assets/videos/viral-victoria__benitez-7330117596110392619.mp4,TikTok subtitle.
7621189679148272928,@iamedsonbrandao,viral_non_tiktokshop,Frozen Banana Lift Hack,no_usable_transcript,no,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/viral-iamedsonbrandao-7621189679148272928.txt,https://www.tiktok.com/@iamedsonbrandao/video/7621189679148272928,assets/videos/viral-iamedsonbrandao-7621189679148272928.mp4,Local ASR produced empty text. Treat as visual reference.
7447707169664879915,@byzareefa,viral_non_tiktokshop,Banana Peel DIY Mask,subtitle,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7447707169664879915.txt,https://www.tiktok.com/@byzareefa/video/7447707169664879915,assets/videos/viral-byzareefa-7447707169664879915.mp4,TikTok subtitle.
7561970033195257101,@thejenjones,viral_non_tiktokshop,Banana Peel Natural t0x,subtitle,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7561970033195257101.txt,https://www.tiktok.com/@thejenjones/video/7561970033195257101,assets/videos/viral-thejenjones-7561970033195257101.mp4,TikTok subtitle.
7627186004625018134,@zack.chug,viral_non_tiktokshop,Banana vs t0x Hook,subtitle,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7627186004625018134.txt,https://www.tiktok.com/@zack.chug/video/7627186004625018134,assets/videos/viral-zack.chug-7627186004625018134.mp4,TikTok subtitle.
7579824086315011359,@drewcanole,viral_non_tiktokshop,DIY Honey Face Mask,subtitle,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7579824086315011359.txt,https://www.tiktok.com/@drewcanole/video/7579824086315011359,assets/videos/viral-drewcanole-7579824086315011359.mp4,TikTok subtitle.
7555933284388146454,@kriziaraso,viral_non_tiktokshop,Honey Facial Glow,asr,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7555933284388146454.txt,https://www.tiktok.com/@kriziaraso/video/7555933284388146454,assets/videos/viral-kriziaraso-7555933284388146454.mp4,ASR fallback. Use with quick human check.
7603074530570980638,@bithhnh387,viral_non_tiktokshop,Frozen Banana Skincare,subtitle,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7603074530570980638.txt,https://www.tiktok.com/@bithhnh387/video/7603074530570980638,assets/videos/viral-bithhnh387-7603074530570980638.mp4,TikTok subtitle.
7618385031932808462,@scottyscheller,viral_non_tiktokshop,Honey Health Hook,subtitle,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7618385031932808462.txt,https://www.tiktok.com/@scottyscheller/video/7618385031932808462,assets/videos/viral-scottyscheller-7618385031932808462.mp4,TikTok subtitle.
7446093862952815918,@tenishaward1,viral_non_tiktokshop,Honey Comb Facial,no_usable_transcript,no,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/viral-tenishaward1-7446093862952815918.txt,https://www.tiktok.com/@tenishaward1/video/7446093862952815918,assets/videos/viral-tenishaward1-7446093862952815918.mp4,No TikTok subtitle. Local ASR produced empty text. Treat as visual reference.
7615701080982211853,@tenishaward1,viral_non_tiktokshop,Brighter Clearer Skin,no_usable_transcript,no,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/viral-tenishaward1-7615701080982211853.txt,https://www.tiktok.com/@tenishaward1/video/7615701080982211853,assets/videos/viral-tenishaward1-7615701080982211853.mp4,No TikTok subtitle. Local ASR only produced non-content text. Treat as visual reference.
7618462796405148941,@iamsk8bordb,talking_head,PDRN Just Works,subtitle,yes,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/transcripts/raw/transcripts/7618462796405148941.txt,https://www.tiktok.com/@iamsk8bordb/video/7618462796405148941,assets/videos/talking-iamsk8bordb-7618462796405148941.mp4,TikTok subtitle.
